,month,town,resale_price
9583,2017-07-01,ANG MO KIO,365000
9584,2017-07-01,ANG MO KIO,368000
9585,2017-07-01,ANG MO KIO,368888
9586,2017-07-01,ANG MO KIO,373000
9587,2017-07-01,ANG MO KIO,378000
9588,2017-07-01,ANG MO KIO,395000
9589,2017-07-01,ANG MO KIO,430000
9590,2017-07-01,ANG MO KIO,385000
9591,2017-07-01,ANG MO KIO,388000
9592,2017-07-01,ANG MO KIO,405000
9593,2017-07-01,ANG MO KIO,418000
9594,2017-07-01,ANG MO KIO,420000
9595,2017-07-01,ANG MO KIO,428000
9596,2017-07-01,ANG MO KIO,435000
9597,2017-07-01,ANG MO KIO,438000
9598,2017-07-01,ANG MO KIO,445000
9599,2017-07-01,ANG MO KIO,445000
9600,2017-07-01,ANG MO KIO,450000
9601,2017-07-01,ANG MO KIO,450000
9602,2017-07-01,ANG MO KIO,465000
9603,2017-07-01,ANG MO KIO,475000
9604,2017-07-01,ANG MO KIO,478888
9605,2017-07-01,ANG MO KIO,483888
9606,2017-07-01,ANG MO KIO,488000
9607,2017-07-01,ANG MO KIO,525000
9608,2017-07-01,ANG MO KIO,595000
9609,2017-07-01,ANG MO KIO,608000
9610,2017-07-01,ANG MO KIO,648000
9611,2017-07-01,ANG MO KIO,658000
9612,2017-07-01,ANG MO KIO,660000
9613,2017-07-01,ANG MO KIO,565000
9614,2017-07-01,ANG MO KIO,580000
9615,2017-07-01,ANG MO KIO,585000
9616,2017-07-01,ANG MO KIO,602800
9617,2017-07-01,ANG MO KIO,635000
9618,2017-07-01,ANG MO KIO,638000
9619,2017-07-01,ANG MO KIO,638888
9620,2017-07-01,ANG MO KIO,650000
9621,2017-07-01,ANG MO KIO,650000
9622,2017-07-01,ANG MO KIO,680000
9623,2017-07-01,ANG MO KIO,777000
9624,2017-07-01,ANG MO KIO,778500
9625,2017-07-01,ANG MO KIO,798000
9626,2017-07-01,ANG MO KIO,818888
9627,2017-07-01,ANG MO KIO,860000
11277,2017-08-01,ANG MO KIO,230000
11278,2017-08-01,ANG MO KIO,240000
11279,2017-08-01,ANG MO KIO,257000
11280,2017-08-01,ANG MO KIO,258000
11281,2017-08-01,ANG MO KIO,258000
11282,2017-08-01,ANG MO KIO,267000
11283,2017-08-01,ANG MO KIO,273000
11284,2017-08-01,ANG MO KIO,278000
11285,2017-08-01,ANG MO KIO,280000
11286,2017-08-01,ANG MO KIO,283000
11287,2017-08-01,ANG MO KIO,283000
11288,2017-08-01,ANG MO KIO,285000
11289,2017-08-01,ANG MO KIO,286888
11290,2017-08-01,ANG MO KIO,290000
11291,2017-08-01,ANG MO KIO,290000
11292,2017-08-01,ANG MO KIO,295000
11293,2017-08-01,ANG MO KIO,300000
11294,2017-08-01,ANG MO KIO,302000
11295,2017-08-01,ANG MO KIO,305000
11296,2017-08-01,ANG MO KIO,305000
11297,2017-08-01,ANG MO KIO,305000
11298,2017-08-01,ANG MO KIO,310000
11299,2017-08-01,ANG MO KIO,310000
11300,2017-08-01,ANG MO KIO,315000
11301,2017-08-01,ANG MO KIO,315000
11302,2017-08-01,ANG MO KIO,318888
11303,2017-08-01,ANG MO KIO,319000
11304,2017-08-01,ANG MO KIO,320000
11305,2017-08-01,ANG MO KIO,320000
11306,2017-08-01,ANG MO KIO,320000
11307,2017-08-01,ANG MO KIO,320000
11308,2017-08-01,ANG MO KIO,325000
11309,2017-08-01,ANG MO KIO,325000
11310,2017-08-01,ANG MO KIO,328000
11311,2017-08-01,ANG MO KIO,330000
11312,2017-08-01,ANG MO KIO,330000
11313,2017-08-01,ANG MO KIO,340000
11314,2017-08-01,ANG MO KIO,343000
11315,2017-08-01,ANG MO KIO,345000
11316,2017-08-01,ANG MO KIO,345000
11317,2017-08-01,ANG MO KIO,348000
11318,2017-08-01,ANG MO KIO,350000
11319,2017-08-01,ANG MO KIO,358000
11320,2017-08-01,ANG MO KIO,360000
11321,2017-08-01,ANG MO KIO,375000
11322,2017-08-01,ANG MO KIO,376000
11323,2017-08-01,ANG MO KIO,399888
11324,2017-08-01,ANG MO KIO,448000
11325,2017-08-01,ANG MO KIO,465000
11326,2017-08-01,ANG MO KIO,465000
11327,2017-08-01,ANG MO KIO,480000
